path,size_bytes,sha256
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_NVT_K1000_2PS_DAY021.md,977,7fcae1d6dc54534fdd4c9dedf6d2ddbe842a650ea55414051e983d206f59ba16
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps.cpt,1641468,f07ed3dc27d7c87a5257db684b25cdc01f0726a19d4eee6e9c2a8a4e236a9ee1
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps.edr,11724,a555912bbb8f23700e40cd7f3a3c527f5d6f9acc9b92a4fa9a107505400641b7
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps.gro,4714174,e1bb18807a07788f75f4b96503e223b7db5cd509a235640f7acb9cac4e68e6dd
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps.log,36947,f85f57495ee3087b29f174b6ffd69d410869d15b53a3ee5af0ef0a91be881b0a
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps.tpr,2088676,1089248479f05e6eeff5703f47f29f6cf8302c19de5f6e939be66b6f6fa85965
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps.xtc,4949804,36fe2363bfada40ce3743afd87d7fae1e568c56a8da4cc2ce80c0322d8bb6aed
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_grompp.log,3612,d7696c8a33332369aca1e953ecfb10152e31010e7027d0d12c8df94663244887
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_mdout.mdp,12914,4a1298a99d09ea1dcafd2ba7023b88c77a7265afd0766850275b28f259cda569
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_mdrun_console.log,1076,cc25b679dce2c7888c9a2b271c2849fba7c415bc9c9e0b5ff09cf94eeba2254b
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_potential.xvg,1718,4fa5507518ba9311d55bbb994e0f97f1457f620118db0d01df1a80109421ae2f
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_potential_energy.log,3618,223f5ac4697fce403db5dee15764a60dec33824b38cb21df0fdac611f015c092
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_pressure.xvg,1641,ae68ad990f6539e47057ad47f796cc54dd28faecbe55a2ab0b72a833deed977d
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_pressure_energy.log,3614,aac7afea87f310987e52d3a8c377c6c6e4dd17f91aa6ec917a1828ef42a88190
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_processed.top,608705,81368aff48710b8fd6849565fa04a90a69da6a02405556a8591efa4c01ea9f92
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_summary.csv,1840,57505b7a93eb8c7ad11f61b2d1804a415e618abbb49a6d483c345a88d028391d
runs/phase1A/day021_mobile_restraint_protocol/execution/03_nvt_k1000_2ps/03_nvt_k1000_2ps_temperature.xvg,1633,0eeb3a1eb1fb1883ecc25f980dc5a54fcde7e0708cfa4dd17239cbae385efa8e
