path,size_bytes,sha256
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_NVT_K10000_1PS_DAY021.md,914,4a3fac6476ebb3981ec191e28fb6963c9661388171d38b57cf594f1cb0bf78dd
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps.cpt,1641480,ce49b4f3c7b1053904d36dc0b81d29851460ca0d7e189f816cafce5010569498
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps.edr,6444,4f5ef80b1af44cf61dfced5d4145bfc53065a53fcace78af1f2fb55683a10a46
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps.gro,4714174,5dd425719ff8fdc574fb9554323bbb21a19842f9637f53fc7fb2911263a7abdf
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps.log,31133,a757daa54ff91b5caf4f1fe279c31beb7fbcd431f4e8c24a52630a5e81fe9c71
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps.tpr,2088676,dafe46f43ada784aa3356f0c5c9f79448ca03ed6f4c1b85a5fc4147cbad5343f
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps.xtc,2592900,83ff9c147a5fd38159b4eb081a26208af81132f46fedfa033f58017a8bfcf9d6
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_grompp.log,3059,1268dc8e38d5514f37fea6986b13b25835bd2a9726da89a617e65b63854c1f96
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_mdout.mdp,12731,aa053dca580a8bcd1375bb260c0a8ce9148d05eceda33886baf4a1df1f4a55e8
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_mdrun_console.log,912,0507847951497276d7f6ae4069cf84042ab6ff5c0c5e5e3d379b3be74d3c7793
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_potential.xvg,1417,ccfc1c5490be7df46e992b75a9d98956d5cd9d594a2c59d375615ca7e788fd6d
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_potential_energy.log,2948,89de73700d280ea47d3646d6159cca3c0c70f1c2bfd93a493c4d49063dbabfe1
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_pressure.xvg,1401,962c64eae3b73d97130fffdf4f8aa4e51909cf58be48db43b08a916e50f26fa5
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_pressure_energy.log,2928,d83d4989f959aee46c00882951f814ae2c496c7ef5f2e7a1df4171011af39ba6
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_processed.top,608705,06cb5c079c5a259a0ea5357285bc6aaf05928bf217314d1b0b5205c53848bf45
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_summary.csv,1687,d88a0bc6dfb4e6865737400b63c259042a09dea81f7a5db9d2046cb85f4a78d4
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_temperature.xvg,1372,cf924770342b3790220390f707737698618ae043304b7dc59922122755045183
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_temperature_energy.log,2945,47a7158b88f6dc3350e37e836f68cf9f07ab05d938b0636b2071271a7997e0ef
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_total_energy.xvg,1444,f9835e46652b07be98dcfedf570252d8b6ab0f7ae1b3ccbc8040859f2eb8a5fc
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/02_nvt_k10000_1ps_total_energy_energy.log,2935,310b3913c4d7f51b24a471d4a665c916bdc82f6d47bc4528dc0c693291238a9b
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/STAGE02_FALSE_POSITIVE_RECONCILIATION_DAY021.md,444,80477253bfa1582ac0586d017a43770d8513c7ea172b94fdb59798b81bd92d45
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/commands.txt,1582,986022455c440094e643a30b9e89e68f022560b81d0d12572ce0ac737bb785a2
runs/phase1A/day021_mobile_restraint_protocol/execution/02_nvt_k10000_1ps/run_stage02_reconciliation.log,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
