LAMMPS (10 Dec 2025)
Reading data file ...
  orthogonal box = (-140 -140 -120) to (140 140 120)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  107280 atoms
  reading velocities ...
  107280 velocities
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  orthogonal box = (-140 -140 -120) to (140 140 120)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  60000 bonds
  reading angles ...
  30000 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.041 seconds
  read_data CPU = 1.379 seconds
17280 atoms in group scaffold
90000 atoms in group water
WARNING: Temperature for fix modify is not for group all (../fix_nh.cpp:1403)
Generated 0 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 47 47 40
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 90.01 | 90.01 | 90.01 Mbytes
   Step        Atoms         Temp         c_twater        PotEng         KinEng         TotEng         Press      c_msdwater[4] 
         0      107280   42.03424       50.104904     -263715.83      13441.639     -250274.2      -239.7017       0            
       100      107280   42.290781      50.410702     -259234.34      13523.675     -245710.67     -231.45358      0.022364864  
       200      107280   42.788401      51.003865     -268348.67      13682.803     -254665.86     -244.21432      0.040315272  
       300      107280   43.338442      51.659515     -261758.52      13858.694     -247899.83     -234.70274      0.052935889  
       400      107280   43.946112      52.383859     -266248.46      14053.014     -252195.44     -239.48543      0.064210133  
       500      107280   44.484885      53.026078     -256796.78      14225.302     -242571.48     -226.42027      0.074544455  
       600      107280   45.044332      53.69294      -253546.14      14404.201     -239141.93     -223.71879      0.085249623  
       700      107280   45.963363      54.788427     -263651.73      14698.087     -248953.64     -238.49849      0.09496509   
       800      107280   46.782621      55.764984     -262453.67      14960.068     -247493.6      -232.8757       0.10260796   
       900      107280   47.691516      56.848389     -257427.58      15250.713     -242176.86     -231.59881      0.1098607    
      1000      107280   48.556608      57.879581     -260116.53      15527.351     -244589.18     -226.57121      0.11766417   
      1100      107280   49.512271      59.018733     -264471.95      15832.951     -248639        -240.37973      0.12473848   
      1200      107280   50.36645       60.036916     -259093.63      16106.099     -242987.53     -223.81548      0.13188076   
      1300      107280   51.591536      61.497221     -264008.42      16497.855     -247510.57     -238.08541      0.1395731    
      1400      107280   52.272579      62.309025     -263534.82      16715.638     -246819.18     -228.00294      0.14751656   
      1500      107280   53.251268      63.475625     -261555.57      17028.601     -244526.97     -231.71601      0.15552595   
      1600      107280   54.051239      64.429192     -258704.94      17284.414     -241420.52     -224.5111       0.16402917   
      1700      107280   55.081929      65.657777     -263622.7       17614.007     -246008.7      -232.06808      0.17245529   
      1800      107280   56.220562      67.015029     -259348.81      17978.117     -241370.7      -228.90095      0.18073654   
      1900      107280   56.944384      67.877827     -259737.86      18209.579     -241528.28     -221.63965      0.19009744   
      2000      107280   57.495857      68.535184     -263780         18385.929     -245394.07     -232.20189      0.19939306   
      2100      107280   58.479687      69.707912     -257676.82      18700.536     -238976.28     -217.32135      0.20807396   
      2200      107280   59.804468      71.287054     -266060.82      19124.173     -246936.65     -233.98697      0.21700365   
      2300      107280   60.552508      72.178719     -262359.8       19363.379     -242996.42     -223.50553      0.22572537   
      2400      107280   61.295466      73.064326     -262430.28      19600.961     -242829.32     -231.2383       0.23522453   
      2500      107280   62.221175      74.167773     -268846.27      19896.983     -248949.29     -235.84079      0.24504681   
      2600      107280   63.007372      75.104922     -263294.35      20148.392     -243145.96     -226.18688      0.25557178   
      2700      107280   63.998695      76.286581     -264963.74      20465.395     -244498.35     -230.20694      0.26581744   
      2800      107280   65.09039       77.587884     -265401.42      20814.496     -244586.93     -224.65547      0.27660755   
      2900      107280   65.848671      78.491757     -272508.68      21056.978     -251451.71     -241.10307      0.28831425   
      3000      107280   66.305792      79.036646     -274588.79      21203.155     -253385.63     -232.69195      0.30095987   
      3100      107280   67.364218      80.298291     -271978.47      21541.616     -250436.85     -239.30173      0.31414849   
      3200      107280   68.432887      81.572147     -270127.93      21883.354     -248244.57     -228.60459      0.32755248   
      3300      107280   68.91435       82.146052     -268240.9       22037.315     -246203.59     -237.4524       0.34027551   
      3400      107280   70.215751      83.697325     -267102.52      22453.475     -244649.04     -223.4533       0.35293009   
      3500      107280   70.904341      84.518126     -267591.48      22673.671     -244917.81     -230.96618      0.36566582   
      3600      107280   71.242414      84.92111      -272454.81      22781.78      -249673.03     -230.56366      0.38064326   
      3700      107280   72.656014      86.606123     -268446.24      23233.818     -245212.42     -228.00672      0.39495413   
      3800      107280   73.412889      87.50832      -262406.51      23475.85      -238930.66     -225.01149      0.40828812   
      3900      107280   74.178418      88.420833     -264494.88      23720.65      -240774.23     -221.03223      0.42136052   
      4000      107280   74.961115      89.353809     -262031.47      23970.94      -238060.53     -225.1904       0.43579439   
      4100      107280   76.065586      90.670341     -265734.84      24324.125     -241410.71     -217.35883      0.45109881   
      4200      107280   76.443029      91.120253     -265389.04      24444.823     -240944.22     -226.7427       0.46704623   
      4300      107280   77.464617      92.337989     -270820.72      24771.505     -246049.22     -223.1218       0.48287972   
      4400      107280   78.267536      93.29507      -277533.25      25028.261     -252504.98     -242.34361      0.49798921   
      4500      107280   79.244349      94.459433     -279777.29      25340.625     -254436.66     -236.12355      0.51316189   
      4600      107280   80.109079      95.490193     -263611.07      25617.147     -237993.92     -220.56767      0.5291944    
      4700      107280   81.326232      96.941042     -270610.45      26006.366     -244604.08     -229.85296      0.5445306    
      4800      107280   81.586339      97.25109      -263721.61      26089.542     -237632.07     -216.74433      0.56235989   
      4900      107280   82.426203      98.25221      -266412.43      26358.113     -240054.32     -224.88395      0.57975419   
      5000      107280   83.675963      99.741926     -267532.22      26757.759     -240774.46     -215.10919      0.5979195    
      5100      107280   84.448749      100.66309     -267370.83      27004.879     -240365.95     -225.21382      0.61457527   
      5200      107280   84.874741      101.17087     -270591.14      27141.102     -243450.04     -218.00263      0.63280325   
      5300      107280   85.847776      102.33073     -274642.31      27452.258     -247190.05     -235.13951      0.6510077    
      5400      107280   86.917117      103.60539     -269348.36      27794.21      -241554.15     -216.53225      0.66974787   
      5500      107280   87.642767      104.47037     -263413.21      28026.257     -235386.95     -219.52002      0.68883744   
      5600      107280   88.245303      105.18859     -260707.33      28218.935     -232488.39     -206.95792      0.70969871   
      5700      107280   89.725124      106.95254     -259278.09      28692.149     -230585.94     -211.15676      0.72915871   
      5800      107280   90.189355      107.5059      -262828.2       28840.601     -233987.6      -212.21816      0.74883481   
      5900      107280   91.044549      108.5253      -268359.7       29114.073     -239245.63     -219.88176      0.76878952   
      6000      107280   92.168534      109.86509     -269971.49      29473.499     -240497.99     -222.26034      0.78916117   
      6100      107280   92.63834       110.4251      -272005.76      29623.733     -242382.03     -222.25657      0.80881749   
      6200      107280   93.42346       111.36096     -265490.65      29874.797     -235615.86     -221.068        0.82924579   
      6300      107280   94.211161      112.2999      -262647.95      30126.687     -232521.26     -206.8589       0.85171714   
      6400      107280   94.968682      113.20287     -264694.92      30368.926     -234326        -216.00274      0.87376874   
      6500      107280   95.768181      114.15588     -267549.26      30624.588     -236924.67     -211.19563      0.89571567   
      6600      107280   96.954901      115.57045     -270669.69      31004.076     -239665.61     -221.06549      0.91737279   
      6700      107280   97.785984      116.5611      -268586.81      31269.838     -237316.97     -215.56389      0.93998118   
      6800      107280   98.477114      117.38493     -269144.29      31490.846     -237653.44     -216.84272      0.96343261   
      6900      107280   99.224091      118.27533     -264273.98      31729.713     -232544.26     -210.09719      0.98612314   
      7000      107280   100.25024      119.4985      -272506.7       32057.854     -240448.85     -219.01759      1.0098428    
      7100      107280   101.16469      120.58853     -263212.2       32350.275     -230861.93     -208.16726      1.0337161    
